unit,sex,age,region,year,value
YR,F,Y1,MD,2012,74.7
YR,F,Y10,MD,2012,65.9
YR,F,Y11,MD,2012,64.9
YR,F,Y12,MD,2012,63.9
YR,F,Y13,MD,2012,62.9
YR,F,Y14,MD,2012,61.9
YR,F,Y15,MD,2012,60.9
YR,F,Y16,MD,2012,60.0
YR,F,Y17,MD,2012,59.0
YR,F,Y18,MD,2012,58.0
YR,F,Y19,MD,2012,57.0
YR,F,Y2,MD,2012,73.7
YR,F,Y20,MD,2012,56.0
YR,F,Y21,MD,2012,55.1
YR,F,Y22,MD,2012,54.1
YR,F,Y23,MD,2012,53.1
YR,F,Y24,MD,2012,52.1
YR,F,Y25,MD,2012,51.1
YR,F,Y26,MD,2012,50.1
YR,F,Y27,MD,2012,49.2
YR,F,Y28,MD,2012,48.2
YR,F,Y29,MD,2012,47.2
YR,F,Y3,MD,2012,72.7
YR,F,Y30,MD,2012,46.2
YR,F,Y31,MD,2012,45.3
YR,F,Y32,MD,2012,44.3
YR,F,Y33,MD,2012,43.3
YR,F,Y34,MD,2012,42.4
YR,F,Y35,MD,2012,41.4
YR,F,Y36,MD,2012,40.5
YR,F,Y37,MD,2012,39.6
YR,F,Y38,MD,2012,38.6
YR,F,Y39,MD,2012,37.7
YR,F,Y4,MD,2012,71.8
YR,F,Y40,MD,2012,36.8
YR,F,Y41,MD,2012,35.8
YR,F,Y42,MD,2012,34.9
YR,F,Y43,MD,2012,33.9
YR,F,Y44,MD,2012,33.0
YR,F,Y45,MD,2012,32.1
YR,F,Y46,MD,2012,31.2
YR,F,Y47,MD,2012,30.3
YR,F,Y48,MD,2012,29.4
YR,F,Y49,MD,2012,28.5
YR,F,Y5,MD,2012,70.8
YR,F,Y50,MD,2012,27.6
YR,F,Y51,MD,2012,26.8
YR,F,Y52,MD,2012,25.9
YR,F,Y53,MD,2012,25.0
YR,F,Y54,MD,2012,24.2
YR,F,Y55,MD,2012,23.4
YR,F,Y56,MD,2012,22.5
YR,F,Y57,MD,2012,21.7
YR,F,Y58,MD,2012,20.9
YR,F,Y59,MD,2012,20.1
YR,F,Y6,MD,2012,69.8
YR,F,Y60,MD,2012,19.4
YR,F,Y61,MD,2012,18.6
YR,F,Y62,MD,2012,17.9
YR,F,Y63,MD,2012,17.2
YR,F,Y64,MD,2012,16.5
YR,F,Y65,MD,2012,15.7
YR,F,Y66,MD,2012,15.0
YR,F,Y67,MD,2012,14.2
YR,F,Y68,MD,2012,13.6
YR,F,Y69,MD,2012,12.9
YR,F,Y7,MD,2012,68.8
YR,F,Y70,MD,2012,12.3
YR,F,Y71,MD,2012,11.9
YR,F,Y72,MD,2012,11.3
YR,F,Y73,MD,2012,10.7
YR,F,Y74,MD,2012,10.2
YR,F,Y75,MD,2012,9.8
YR,F,Y76,MD,2012,9.3
YR,F,Y77,MD,2012,8.8
YR,F,Y78,MD,2012,8.5
YR,F,Y79,MD,2012,8.0
YR,F,Y8,MD,2012,67.8
YR,F,Y80,MD,2012,7.8
YR,F,Y81,MD,2012,7.4
YR,F,Y82,MD,2012,7.1
YR,F,Y83,MD,2012,6.8
YR,F,Y84,MD,2012,6.7
YR,F,Y9,MD,2012,66.8
YR,F,Y_GE85,MD,2012,6.4
YR,F,Y_LT1,MD,2012,74.9
YR,M,Y1,MD,2012,66.7
YR,M,Y10,MD,2012,57.9
YR,M,Y11,MD,2012,57.0
YR,M,Y12,MD,2012,56.0
YR,M,Y13,MD,2012,55.0
YR,M,Y14,MD,2012,54.0
YR,M,Y15,MD,2012,53.0
YR,M,Y16,MD,2012,52.1
YR,M,Y17,MD,2012,51.1
YR,M,Y18,MD,2012,50.2
YR,M,Y19,MD,2012,49.2
YR,M,Y2,MD,2012,65.7
YR,M,Y20,MD,2012,48.3
YR,M,Y21,MD,2012,47.3
YR,M,Y22,MD,2012,46.4
YR,M,Y23,MD,2012,45.5
YR,M,Y24,MD,2012,44.5
YR,M,Y25,MD,2012,43.5
YR,M,Y26,MD,2012,42.6
YR,M,Y27,MD,2012,41.6
YR,M,Y28,MD,2012,40.7
YR,M,Y29,MD,2012,39.8
YR,M,Y3,MD,2012,64.8
YR,M,Y30,MD,2012,38.8
YR,M,Y31,MD,2012,37.9
YR,M,Y32,MD,2012,37.0
YR,M,Y33,MD,2012,36.1
YR,M,Y34,MD,2012,35.2
YR,M,Y35,MD,2012,34.3
YR,M,Y36,MD,2012,33.4
YR,M,Y37,MD,2012,32.5
YR,M,Y38,MD,2012,31.6
YR,M,Y39,MD,2012,30.8
YR,M,Y4,MD,2012,63.8
YR,M,Y40,MD,2012,29.9
YR,M,Y41,MD,2012,29.1
YR,M,Y42,MD,2012,28.3
YR,M,Y43,MD,2012,27.5
YR,M,Y44,MD,2012,26.7
YR,M,Y45,MD,2012,25.8
YR,M,Y46,MD,2012,25.1
YR,M,Y47,MD,2012,24.3
YR,M,Y48,MD,2012,23.6
YR,M,Y49,MD,2012,22.9
YR,M,Y5,MD,2012,62.8
YR,M,Y50,MD,2012,22.2
YR,M,Y51,MD,2012,21.5
YR,M,Y52,MD,2012,20.7
YR,M,Y53,MD,2012,20.0
YR,M,Y54,MD,2012,19.4
YR,M,Y55,MD,2012,18.7
YR,M,Y56,MD,2012,18.1
YR,M,Y57,MD,2012,17.4
YR,M,Y58,MD,2012,16.8
YR,M,Y59,MD,2012,16.2
YR,M,Y6,MD,2012,61.8
YR,M,Y60,MD,2012,15.6
YR,M,Y61,MD,2012,15.0
YR,M,Y62,MD,2012,14.4
YR,M,Y63,MD,2012,14.0
YR,M,Y64,MD,2012,13.5
YR,M,Y65,MD,2012,12.9
YR,M,Y66,MD,2012,12.3
YR,M,Y67,MD,2012,11.6
YR,M,Y68,MD,2012,11.0
YR,M,Y69,MD,2012,10.6
YR,M,Y7,MD,2012,60.9
YR,M,Y70,MD,2012,10.2
YR,M,Y71,MD,2012,9.9
YR,M,Y72,MD,2012,9.4
YR,M,Y73,MD,2012,9.1
YR,M,Y74,MD,2012,8.7
YR,M,Y75,MD,2012,8.4
YR,M,Y76,MD,2012,8.1
YR,M,Y77,MD,2012,7.8
YR,M,Y78,MD,2012,7.5
YR,M,Y79,MD,2012,7.2
YR,M,Y8,MD,2012,59.9
YR,M,Y80,MD,2012,7.1
YR,M,Y81,MD,2012,6.8
YR,M,Y82,MD,2012,6.7
YR,M,Y83,MD,2012,6.6
YR,M,Y84,MD,2012,6.6
YR,M,Y9,MD,2012,58.9
YR,M,Y_GE85,MD,2012,6.5
YR,M,Y_LT1,MD,2012,67.0
YR,T,Y1,MD,2012,70.7
YR,T,Y10,MD,2012,61.9
YR,T,Y11,MD,2012,60.9
YR,T,Y12,MD,2012,59.9
YR,T,Y13,MD,2012,59.0
YR,T,Y14,MD,2012,58.0
YR,T,Y15,MD,2012,57.0
YR,T,Y16,MD,2012,56.0
YR,T,Y17,MD,2012,55.1
YR,T,Y18,MD,2012,54.1
YR,T,Y19,MD,2012,53.1
YR,T,Y2,MD,2012,69.8
YR,T,Y20,MD,2012,52.2
YR,T,Y21,MD,2012,51.2
YR,T,Y22,MD,2012,50.3
YR,T,Y23,MD,2012,49.3
YR,T,Y24,MD,2012,48.3
YR,T,Y25,MD,2012,47.4
YR,T,Y26,MD,2012,46.4
YR,T,Y27,MD,2012,45.5
YR,T,Y28,MD,2012,44.5
YR,T,Y29,MD,2012,43.5
YR,T,Y3,MD,2012,68.8
YR,T,Y30,MD,2012,42.6
YR,T,Y31,MD,2012,41.7
YR,T,Y32,MD,2012,40.7
YR,T,Y33,MD,2012,39.8
YR,T,Y34,MD,2012,38.8
YR,T,Y35,MD,2012,37.9
YR,T,Y36,MD,2012,37.0
YR,T,Y37,MD,2012,36.1
YR,T,Y38,MD,2012,35.2
YR,T,Y39,MD,2012,34.3
YR,T,Y4,MD,2012,67.8
YR,T,Y40,MD,2012,33.4
YR,T,Y41,MD,2012,32.5
YR,T,Y42,MD,2012,31.7
YR,T,Y43,MD,2012,30.8
YR,T,Y44,MD,2012,30.0
YR,T,Y45,MD,2012,29.1
YR,T,Y46,MD,2012,28.3
YR,T,Y47,MD,2012,27.5
YR,T,Y48,MD,2012,26.6
YR,T,Y49,MD,2012,25.8
YR,T,Y5,MD,2012,66.8
YR,T,Y50,MD,2012,25.0
YR,T,Y51,MD,2012,24.3
YR,T,Y52,MD,2012,23.5
YR,T,Y53,MD,2012,22.7
YR,T,Y54,MD,2012,22.0
YR,T,Y55,MD,2012,21.2
YR,T,Y56,MD,2012,20.5
YR,T,Y57,MD,2012,19.8
YR,T,Y58,MD,2012,19.1
YR,T,Y59,MD,2012,18.3
YR,T,Y6,MD,2012,65.8
YR,T,Y60,MD,2012,17.7
YR,T,Y61,MD,2012,17.0
YR,T,Y62,MD,2012,16.4
YR,T,Y63,MD,2012,15.8
YR,T,Y64,MD,2012,15.2
YR,T,Y65,MD,2012,14.5
YR,T,Y66,MD,2012,13.9
YR,T,Y67,MD,2012,13.1
YR,T,Y68,MD,2012,12.5
YR,T,Y69,MD,2012,12.0
YR,T,Y7,MD,2012,64.9
YR,T,Y70,MD,2012,11.5
YR,T,Y71,MD,2012,11.1
YR,T,Y72,MD,2012,10.6
YR,T,Y73,MD,2012,10.1
YR,T,Y74,MD,2012,9.7
YR,T,Y75,MD,2012,9.2
YR,T,Y76,MD,2012,8.8
YR,T,Y77,MD,2012,8.4
YR,T,Y78,MD,2012,8.1
YR,T,Y79,MD,2012,7.7
YR,T,Y8,MD,2012,63.9
YR,T,Y80,MD,2012,7.5
YR,T,Y81,MD,2012,7.2
YR,T,Y82,MD,2012,7.0
YR,T,Y83,MD,2012,6.8
YR,T,Y84,MD,2012,6.6
YR,T,Y9,MD,2012,62.9
YR,T,Y_GE85,MD,2012,6.5
YR,T,Y_LT1,MD,2012,71.0
YR,F,Y1,MD,2011,74.6
YR,F,Y10,MD,2011,65.9
YR,F,Y11,MD,2011,64.9
YR,F,Y12,MD,2011,63.9
YR,F,Y13,MD,2011,62.9
YR,F,Y14,MD,2011,61.9
YR,F,Y15,MD,2011,60.9
YR,F,Y16,MD,2011,60.0
YR,F,Y17,MD,2011,59.0
YR,F,Y18,MD,2011,58.0
YR,F,Y19,MD,2011,57.0
YR,F,Y2,MD,2011,73.7
YR,F,Y20,MD,2011,56.0
YR,F,Y21,MD,2011,55.0
YR,F,Y22,MD,2011,54.1
YR,F,Y23,MD,2011,53.1
YR,F,Y24,MD,2011,52.1
YR,F,Y25,MD,2011,51.1
YR,F,Y26,MD,2011,50.1
YR,F,Y27,MD,2011,49.2
YR,F,Y28,MD,2011,48.2
YR,F,Y29,MD,2011,47.2
YR,F,Y3,MD,2011,72.8
YR,F,Y30,MD,2011,46.2
YR,F,Y31,MD,2011,45.3
YR,F,Y32,MD,2011,44.3
YR,F,Y33,MD,2011,43.3
YR,F,Y34,MD,2011,42.4
YR,F,Y35,MD,2011,41.4
YR,F,Y36,MD,2011,40.5
YR,F,Y37,MD,2011,39.5
YR,F,Y38,MD,2011,38.6
YR,F,Y39,MD,2011,37.6
YR,F,Y4,MD,2011,71.8
YR,F,Y40,MD,2011,36.7
YR,F,Y41,MD,2011,35.8
YR,F,Y42,MD,2011,34.8
YR,F,Y43,MD,2011,33.9
YR,F,Y44,MD,2011,33.0
YR,F,Y45,MD,2011,32.1
YR,F,Y46,MD,2011,31.1
YR,F,Y47,MD,2011,30.2
YR,F,Y48,MD,2011,29.3
YR,F,Y49,MD,2011,28.4
YR,F,Y5,MD,2011,70.8
YR,F,Y50,MD,2011,27.5
YR,F,Y51,MD,2011,26.6
YR,F,Y52,MD,2011,25.7
YR,F,Y53,MD,2011,24.9
YR,F,Y54,MD,2011,24.1
YR,F,Y55,MD,2011,23.2
YR,F,Y56,MD,2011,22.4
YR,F,Y57,MD,2011,21.6
YR,F,Y58,MD,2011,20.8
YR,F,Y59,MD,2011,20.0
YR,F,Y6,MD,2011,69.8
YR,F,Y60,MD,2011,19.2
YR,F,Y61,MD,2011,18.5
YR,F,Y62,MD,2011,17.7
YR,F,Y63,MD,2011,17.1
YR,F,Y64,MD,2011,16.3
YR,F,Y65,MD,2011,15.6
YR,F,Y66,MD,2011,14.8
YR,F,Y67,MD,2011,14.1
YR,F,Y68,MD,2011,13.4
YR,F,Y69,MD,2011,12.8
YR,F,Y7,MD,2011,68.9
YR,F,Y70,MD,2011,12.2
YR,F,Y71,MD,2011,11.6
YR,F,Y72,MD,2011,11.0
YR,F,Y73,MD,2011,10.4
YR,F,Y74,MD,2011,9.9
YR,F,Y75,MD,2011,9.4
YR,F,Y76,MD,2011,8.9
YR,F,Y77,MD,2011,8.5
YR,F,Y78,MD,2011,8.0
YR,F,Y79,MD,2011,7.6
YR,F,Y8,MD,2011,67.9
YR,F,Y80,MD,2011,7.2
YR,F,Y81,MD,2011,6.9
YR,F,Y82,MD,2011,6.5
YR,F,Y83,MD,2011,6.2
YR,F,Y84,MD,2011,6.0
YR,F,Y9,MD,2011,66.9
YR,F,Y_GE85,MD,2011,5.7
YR,F,Y_LT1,MD,2011,75.0
YR,M,Y1,MD,2011,66.8
YR,M,Y10,MD,2011,58.0
YR,M,Y11,MD,2011,57.0
YR,M,Y12,MD,2011,56.1
YR,M,Y13,MD,2011,55.1
YR,M,Y14,MD,2011,54.1
YR,M,Y15,MD,2011,53.1
YR,M,Y16,MD,2011,52.1
YR,M,Y17,MD,2011,51.2
YR,M,Y18,MD,2011,50.2
YR,M,Y19,MD,2011,49.3
YR,M,Y2,MD,2011,65.8
YR,M,Y20,MD,2011,48.3
YR,M,Y21,MD,2011,47.3
YR,M,Y22,MD,2011,46.4
YR,M,Y23,MD,2011,45.5
YR,M,Y24,MD,2011,44.5
YR,M,Y25,MD,2011,43.6
YR,M,Y26,MD,2011,42.6
YR,M,Y27,MD,2011,41.7
YR,M,Y28,MD,2011,40.7
YR,M,Y29,MD,2011,39.8
YR,M,Y3,MD,2011,64.9
YR,M,Y30,MD,2011,38.9
YR,M,Y31,MD,2011,38.0
YR,M,Y32,MD,2011,37.0
YR,M,Y33,MD,2011,36.1
YR,M,Y34,MD,2011,35.2
YR,M,Y35,MD,2011,34.3
YR,M,Y36,MD,2011,33.4
YR,M,Y37,MD,2011,32.6
YR,M,Y38,MD,2011,31.7
YR,M,Y39,MD,2011,30.8
YR,M,Y4,MD,2011,63.9
YR,M,Y40,MD,2011,29.9
YR,M,Y41,MD,2011,29.1
YR,M,Y42,MD,2011,28.3
YR,M,Y43,MD,2011,27.5
YR,M,Y44,MD,2011,26.7
YR,M,Y45,MD,2011,25.9
YR,M,Y46,MD,2011,25.1
YR,M,Y47,MD,2011,24.4
YR,M,Y48,MD,2011,23.6
YR,M,Y49,MD,2011,22.8
YR,M,Y5,MD,2011,62.9
YR,M,Y50,MD,2011,22.1
YR,M,Y51,MD,2011,21.3
YR,M,Y52,MD,2011,20.6
YR,M,Y53,MD,2011,19.9
YR,M,Y54,MD,2011,19.2
YR,M,Y55,MD,2011,18.6
YR,M,Y56,MD,2011,17.9
YR,M,Y57,MD,2011,17.3
YR,M,Y58,MD,2011,16.6
YR,M,Y59,MD,2011,16.0
YR,M,Y6,MD,2011,62.0
YR,M,Y60,MD,2011,15.4
YR,M,Y61,MD,2011,14.8
YR,M,Y62,MD,2011,14.3
YR,M,Y63,MD,2011,13.9
YR,M,Y64,MD,2011,13.3
YR,M,Y65,MD,2011,12.8
YR,M,Y66,MD,2011,12.1
YR,M,Y67,MD,2011,11.5
YR,M,Y68,MD,2011,11.0
YR,M,Y69,MD,2011,10.4
YR,M,Y7,MD,2011,61.0
YR,M,Y70,MD,2011,10.1
YR,M,Y71,MD,2011,9.6
YR,M,Y72,MD,2011,9.2
YR,M,Y73,MD,2011,8.8
YR,M,Y74,MD,2011,8.4
YR,M,Y75,MD,2011,8.1
YR,M,Y76,MD,2011,7.7
YR,M,Y77,MD,2011,7.4
YR,M,Y78,MD,2011,7.1
YR,M,Y79,MD,2011,6.8
YR,M,Y8,MD,2011,60.0
YR,M,Y80,MD,2011,6.5
YR,M,Y81,MD,2011,6.4
YR,M,Y82,MD,2011,6.1
YR,M,Y83,MD,2011,5.8
YR,M,Y84,MD,2011,5.7
YR,M,Y9,MD,2011,59.0
YR,M,Y_GE85,MD,2011,5.7
YR,M,Y_LT1,MD,2011,66.9
YR,T,Y1,MD,2011,70.7
YR,T,Y10,MD,2011,62.0
YR,T,Y11,MD,2011,61.0
YR,T,Y12,MD,2011,60.0
YR,T,Y13,MD,2011,59.0
YR,T,Y14,MD,2011,58.0
YR,T,Y15,MD,2011,57.1
YR,T,Y16,MD,2011,56.1
YR,T,Y17,MD,2011,55.1
YR,T,Y18,MD,2011,54.1
YR,T,Y19,MD,2011,53.2
YR,T,Y2,MD,2011,69.8
YR,T,Y20,MD,2011,52.2
YR,T,Y21,MD,2011,51.2
YR,T,Y22,MD,2011,50.3
YR,T,Y23,MD,2011,49.3
YR,T,Y24,MD,2011,48.3
YR,T,Y25,MD,2011,47.4
YR,T,Y26,MD,2011,46.4
YR,T,Y27,MD,2011,45.5
YR,T,Y28,MD,2011,44.5
YR,T,Y29,MD,2011,43.6
YR,T,Y3,MD,2011,68.9
YR,T,Y30,MD,2011,42.6
YR,T,Y31,MD,2011,41.7
YR,T,Y32,MD,2011,40.7
YR,T,Y33,MD,2011,39.8
YR,T,Y34,MD,2011,38.9
YR,T,Y35,MD,2011,37.9
YR,T,Y36,MD,2011,37.0
YR,T,Y37,MD,2011,36.1
YR,T,Y38,MD,2011,35.2
YR,T,Y39,MD,2011,34.3
YR,T,Y4,MD,2011,67.9
YR,T,Y40,MD,2011,33.4
YR,T,Y41,MD,2011,32.5
YR,T,Y42,MD,2011,31.6
YR,T,Y43,MD,2011,30.8
YR,T,Y44,MD,2011,30.0
YR,T,Y45,MD,2011,29.1
YR,T,Y46,MD,2011,28.3
YR,T,Y47,MD,2011,27.4
YR,T,Y48,MD,2011,26.6
YR,T,Y49,MD,2011,25.8
YR,T,Y5,MD,2011,66.9
YR,T,Y50,MD,2011,25.0
YR,T,Y51,MD,2011,24.1
YR,T,Y52,MD,2011,23.4
YR,T,Y53,MD,2011,22.6
YR,T,Y54,MD,2011,21.8
YR,T,Y55,MD,2011,21.1
YR,T,Y56,MD,2011,20.3
YR,T,Y57,MD,2011,19.6
YR,T,Y58,MD,2011,18.9
YR,T,Y59,MD,2011,18.2
YR,T,Y6,MD,2011,65.9
YR,T,Y60,MD,2011,17.5
YR,T,Y61,MD,2011,16.8
YR,T,Y62,MD,2011,16.2
YR,T,Y63,MD,2011,15.7
YR,T,Y64,MD,2011,15.0
YR,T,Y65,MD,2011,14.4
YR,T,Y66,MD,2011,13.7
YR,T,Y67,MD,2011,13.0
YR,T,Y68,MD,2011,12.4
YR,T,Y69,MD,2011,11.8
YR,T,Y7,MD,2011,65.0
YR,T,Y70,MD,2011,11.4
YR,T,Y71,MD,2011,10.8
YR,T,Y72,MD,2011,10.3
YR,T,Y73,MD,2011,9.8
YR,T,Y74,MD,2011,9.3
YR,T,Y75,MD,2011,8.9
YR,T,Y76,MD,2011,8.5
YR,T,Y77,MD,2011,8.1
YR,T,Y78,MD,2011,7.7
YR,T,Y79,MD,2011,7.3
YR,T,Y8,MD,2011,64.0
YR,T,Y80,MD,2011,7.0
YR,T,Y81,MD,2011,6.7
YR,T,Y82,MD,2011,6.4
YR,T,Y83,MD,2011,6.1
YR,T,Y84,MD,2011,5.9
YR,T,Y9,MD,2011,63.0
YR,T,Y_GE85,MD,2011,5.7
YR,T,Y_LT1,MD,2011,71.0
YR,F,Y1,MD,2010,73.2
YR,F,Y10,MD,2010,64.4
YR,F,Y11,MD,2010,63.4
YR,F,Y12,MD,2010,62.4
YR,F,Y13,MD,2010,61.4
YR,F,Y14,MD,2010,60.5
YR,F,Y15,MD,2010,59.5
YR,F,Y16,MD,2010,58.5
YR,F,Y17,MD,2010,57.5
YR,F,Y18,MD,2010,56.5
YR,F,Y19,MD,2010,55.6
YR,F,Y2,MD,2010,72.2
YR,F,Y20,MD,2010,54.6
YR,F,Y21,MD,2010,53.6
YR,F,Y22,MD,2010,52.6
YR,F,Y23,MD,2010,51.6
YR,F,Y24,MD,2010,50.6
YR,F,Y25,MD,2010,49.7
YR,F,Y26,MD,2010,48.7
YR,F,Y27,MD,2010,47.7
YR,F,Y28,MD,2010,46.8
YR,F,Y29,MD,2010,45.8
YR,F,Y3,MD,2010,71.3
YR,F,Y30,MD,2010,44.8
YR,F,Y31,MD,2010,43.8
YR,F,Y32,MD,2010,42.9
YR,F,Y33,MD,2010,41.9
YR,F,Y34,MD,2010,41.0
YR,F,Y35,MD,2010,40.0
YR,F,Y36,MD,2010,39.1
YR,F,Y37,MD,2010,38.1
YR,F,Y38,MD,2010,37.2
YR,F,Y39,MD,2010,36.3
YR,F,Y4,MD,2010,70.3
YR,F,Y40,MD,2010,35.3
YR,F,Y41,MD,2010,34.4
YR,F,Y42,MD,2010,33.4
YR,F,Y43,MD,2010,32.5
YR,F,Y44,MD,2010,31.6
YR,F,Y45,MD,2010,30.7
YR,F,Y46,MD,2010,29.8
YR,F,Y47,MD,2010,28.9
YR,F,Y48,MD,2010,28.1
YR,F,Y49,MD,2010,27.2
YR,F,Y5,MD,2010,69.3
YR,F,Y50,MD,2010,26.4
YR,F,Y51,MD,2010,25.5
YR,F,Y52,MD,2010,24.7
YR,F,Y53,MD,2010,23.8
YR,F,Y54,MD,2010,23.0
YR,F,Y55,MD,2010,22.2
YR,F,Y56,MD,2010,21.4
YR,F,Y57,MD,2010,20.6
YR,F,Y58,MD,2010,19.8
YR,F,Y59,MD,2010,19.0
YR,F,Y6,MD,2010,68.3
YR,F,Y60,MD,2010,18.3
YR,F,Y61,MD,2010,17.6
YR,F,Y62,MD,2010,17.0
YR,F,Y63,MD,2010,16.3
YR,F,Y64,MD,2010,15.6
YR,F,Y65,MD,2010,14.8
YR,F,Y66,MD,2010,14.1
YR,F,Y67,MD,2010,13.5
YR,F,Y68,MD,2010,12.8
YR,F,Y69,MD,2010,12.3
YR,F,Y7,MD,2010,67.3
YR,F,Y70,MD,2010,11.7
YR,F,Y71,MD,2010,11.2
YR,F,Y72,MD,2010,10.6
YR,F,Y73,MD,2010,10.1
YR,F,Y74,MD,2010,9.5
YR,F,Y75,MD,2010,9.0
YR,F,Y76,MD,2010,8.6
YR,F,Y77,MD,2010,8.2
YR,F,Y78,MD,2010,7.7
YR,F,Y79,MD,2010,7.3
YR,F,Y8,MD,2010,66.3
YR,F,Y80,MD,2010,7.0
YR,F,Y81,MD,2010,6.6
YR,F,Y82,MD,2010,6.3
YR,F,Y83,MD,2010,6.0
YR,F,Y84,MD,2010,5.7
YR,F,Y9,MD,2010,65.4
YR,F,Y_GE85,MD,2010,5.5
YR,F,Y_LT1,MD,2010,73.5
YR,M,Y1,MD,2010,64.8
YR,M,Y10,MD,2010,56.1
YR,M,Y11,MD,2010,55.1
YR,M,Y12,MD,2010,54.1
YR,M,Y13,MD,2010,53.1
YR,M,Y14,MD,2010,52.1
YR,M,Y15,MD,2010,51.1
YR,M,Y16,MD,2010,50.2
YR,M,Y17,MD,2010,49.2
YR,M,Y18,MD,2010,48.3
YR,M,Y19,MD,2010,47.3
YR,M,Y2,MD,2010,63.9
YR,M,Y20,MD,2010,46.3
YR,M,Y21,MD,2010,45.4
YR,M,Y22,MD,2010,44.5
YR,M,Y23,MD,2010,43.5
YR,M,Y24,MD,2010,42.6
YR,M,Y25,MD,2010,41.6
YR,M,Y26,MD,2010,40.7
YR,M,Y27,MD,2010,39.8
YR,M,Y28,MD,2010,38.8
YR,M,Y29,MD,2010,37.9
YR,M,Y3,MD,2010,62.9
YR,M,Y30,MD,2010,37.0
YR,M,Y31,MD,2010,36.1
YR,M,Y32,MD,2010,35.2
YR,M,Y33,MD,2010,34.3
YR,M,Y34,MD,2010,33.5
YR,M,Y35,MD,2010,32.6
YR,M,Y36,MD,2010,31.7
YR,M,Y37,MD,2010,30.9
YR,M,Y38,MD,2010,30.0
YR,M,Y39,MD,2010,29.2
YR,M,Y4,MD,2010,62.0
YR,M,Y40,MD,2010,28.4
YR,M,Y41,MD,2010,27.6
YR,M,Y42,MD,2010,26.8
YR,M,Y43,MD,2010,26.0
YR,M,Y44,MD,2010,25.2
YR,M,Y45,MD,2010,24.5
YR,M,Y46,MD,2010,23.8
YR,M,Y47,MD,2010,23.0
YR,M,Y48,MD,2010,22.3
YR,M,Y49,MD,2010,21.6
YR,M,Y5,MD,2010,61.0
YR,M,Y50,MD,2010,20.9
YR,M,Y51,MD,2010,20.2
YR,M,Y52,MD,2010,19.5
YR,M,Y53,MD,2010,18.8
YR,M,Y54,MD,2010,18.2
YR,M,Y55,MD,2010,17.6
YR,M,Y56,MD,2010,17.0
YR,M,Y57,MD,2010,16.4
YR,M,Y58,MD,2010,15.8
YR,M,Y59,MD,2010,15.2
YR,M,Y6,MD,2010,60.0
YR,M,Y60,MD,2010,14.7
YR,M,Y61,MD,2010,14.2
YR,M,Y62,MD,2010,13.7
YR,M,Y63,MD,2010,13.1
YR,M,Y64,MD,2010,12.6
YR,M,Y65,MD,2010,11.9
YR,M,Y66,MD,2010,11.3
YR,M,Y67,MD,2010,10.8
YR,M,Y68,MD,2010,10.3
YR,M,Y69,MD,2010,9.9
YR,M,Y7,MD,2010,59.0
YR,M,Y70,MD,2010,9.5
YR,M,Y71,MD,2010,9.2
YR,M,Y72,MD,2010,8.8
YR,M,Y73,MD,2010,8.4
YR,M,Y74,MD,2010,8.0
YR,M,Y75,MD,2010,7.7
YR,M,Y76,MD,2010,7.4
YR,M,Y77,MD,2010,7.1
YR,M,Y78,MD,2010,6.8
YR,M,Y79,MD,2010,6.6
YR,M,Y8,MD,2010,58.0
YR,M,Y80,MD,2010,6.3
YR,M,Y81,MD,2010,6.1
YR,M,Y82,MD,2010,5.9
YR,M,Y83,MD,2010,5.8
YR,M,Y84,MD,2010,5.7
YR,M,Y9,MD,2010,57.0
YR,M,Y_GE85,MD,2010,5.5
YR,M,Y_LT1,MD,2010,64.9
YR,T,Y1,MD,2010,69.0
YR,T,Y10,MD,2010,60.2
YR,T,Y11,MD,2010,59.2
YR,T,Y12,MD,2010,58.2
YR,T,Y13,MD,2010,57.2
YR,T,Y14,MD,2010,56.3
YR,T,Y15,MD,2010,55.3
YR,T,Y16,MD,2010,54.3
YR,T,Y17,MD,2010,53.3
YR,T,Y18,MD,2010,52.4
YR,T,Y19,MD,2010,51.4
YR,T,Y2,MD,2010,68.0
YR,T,Y20,MD,2010,50.4
YR,T,Y21,MD,2010,49.5
YR,T,Y22,MD,2010,48.5
YR,T,Y23,MD,2010,47.6
YR,T,Y24,MD,2010,46.6
YR,T,Y25,MD,2010,45.6
YR,T,Y26,MD,2010,44.7
YR,T,Y27,MD,2010,43.7
YR,T,Y28,MD,2010,42.8
YR,T,Y29,MD,2010,41.8
YR,T,Y3,MD,2010,67.0
YR,T,Y30,MD,2010,40.9
YR,T,Y31,MD,2010,40.0
YR,T,Y32,MD,2010,39.1
YR,T,Y33,MD,2010,38.1
YR,T,Y34,MD,2010,37.2
YR,T,Y35,MD,2010,36.3
YR,T,Y36,MD,2010,35.4
YR,T,Y37,MD,2010,34.5
YR,T,Y38,MD,2010,33.7
YR,T,Y39,MD,2010,32.8
YR,T,Y4,MD,2010,66.1
YR,T,Y40,MD,2010,31.9
YR,T,Y41,MD,2010,31.1
YR,T,Y42,MD,2010,30.2
YR,T,Y43,MD,2010,29.3
YR,T,Y44,MD,2010,28.5
YR,T,Y45,MD,2010,27.7
YR,T,Y46,MD,2010,26.9
YR,T,Y47,MD,2010,26.1
YR,T,Y48,MD,2010,25.3
YR,T,Y49,MD,2010,24.5
YR,T,Y5,MD,2010,65.1
