unit,sex,age,region,year,value
YR,F,Y65,NO,2021,21.8
YR,F,Y_LT1,NO,2021,84.7
YR,M,Y65,NO,2021,19.8
YR,M,Y_LT1,NO,2021,81.7
YR,T,Y65,NO,2021,20.8
YR,T,Y_LT1,NO,2021,83.2
YR,F,Y1,NO,2020,84.0
YR,F,Y10,NO,2020,75.1
YR,F,Y11,NO,2020,74.1
YR,F,Y12,NO,2020,73.1
YR,F,Y13,NO,2020,72.1
YR,F,Y14,NO,2020,71.1
YR,F,Y15,NO,2020,70.1
YR,F,Y16,NO,2020,69.1
YR,F,Y17,NO,2020,68.1
YR,F,Y18,NO,2020,67.2
YR,F,Y19,NO,2020,66.2
YR,F,Y2,NO,2020,83.0
YR,F,Y20,NO,2020,65.2
YR,F,Y21,NO,2020,64.2
YR,F,Y22,NO,2020,63.2
YR,F,Y23,NO,2020,62.2
YR,F,Y24,NO,2020,61.2
YR,F,Y25,NO,2020,60.2
YR,F,Y26,NO,2020,59.2
YR,F,Y27,NO,2020,58.3
YR,F,Y28,NO,2020,57.3
YR,F,Y29,NO,2020,56.3
YR,F,Y3,NO,2020,82.0
YR,F,Y30,NO,2020,55.3
YR,F,Y31,NO,2020,54.3
YR,F,Y32,NO,2020,53.3
YR,F,Y33,NO,2020,52.4
YR,F,Y34,NO,2020,51.4
YR,F,Y35,NO,2020,50.4
YR,F,Y36,NO,2020,49.4
YR,F,Y37,NO,2020,48.4
YR,F,Y38,NO,2020,47.4
YR,F,Y39,NO,2020,46.5
YR,F,Y4,NO,2020,81.0
YR,F,Y40,NO,2020,45.5
YR,F,Y41,NO,2020,44.5
YR,F,Y42,NO,2020,43.5
YR,F,Y43,NO,2020,42.6
YR,F,Y44,NO,2020,41.6
YR,F,Y45,NO,2020,40.6
YR,F,Y46,NO,2020,39.7
YR,F,Y47,NO,2020,38.7
YR,F,Y48,NO,2020,37.7
YR,F,Y49,NO,2020,36.8
YR,F,Y5,NO,2020,80.0
YR,F,Y50,NO,2020,35.9
YR,F,Y51,NO,2020,34.9
YR,F,Y52,NO,2020,33.9
YR,F,Y53,NO,2020,33.0
YR,F,Y54,NO,2020,32.1
YR,F,Y55,NO,2020,31.1
YR,F,Y56,NO,2020,30.2
YR,F,Y57,NO,2020,29.3
YR,F,Y58,NO,2020,28.4
YR,F,Y59,NO,2020,27.4
YR,F,Y6,NO,2020,79.0
YR,F,Y60,NO,2020,26.5
YR,F,Y61,NO,2020,25.6
YR,F,Y62,NO,2020,24.7
YR,F,Y63,NO,2020,23.8
YR,F,Y64,NO,2020,23.0
YR,F,Y65,NO,2020,22.1
YR,F,Y66,NO,2020,21.2
YR,F,Y67,NO,2020,20.4
YR,F,Y68,NO,2020,19.5
YR,F,Y69,NO,2020,18.7
YR,F,Y7,NO,2020,78.0
YR,F,Y70,NO,2020,17.8
YR,F,Y71,NO,2020,17.0
YR,F,Y72,NO,2020,16.2
YR,F,Y73,NO,2020,15.4
YR,F,Y74,NO,2020,14.7
YR,F,Y75,NO,2020,13.9
YR,F,Y76,NO,2020,13.1
YR,F,Y77,NO,2020,12.4
YR,F,Y78,NO,2020,11.7
YR,F,Y79,NO,2020,11.0
YR,F,Y8,NO,2020,77.1
YR,F,Y80,NO,2020,10.3
YR,F,Y81,NO,2020,9.6
YR,F,Y82,NO,2020,9.0
YR,F,Y83,NO,2020,8.3
YR,F,Y84,NO,2020,7.8
YR,F,Y9,NO,2020,76.1
YR,F,Y_GE85,NO,2020,7.2
YR,F,Y_LT1,NO,2020,84.9
YR,M,Y1,NO,2020,80.7
YR,M,Y10,NO,2020,71.8
YR,M,Y11,NO,2020,70.8
YR,M,Y12,NO,2020,69.8
YR,M,Y13,NO,2020,68.8
YR,M,Y14,NO,2020,67.8
YR,M,Y15,NO,2020,66.8
YR,M,Y16,NO,2020,65.8
YR,M,Y17,NO,2020,64.9
YR,M,Y18,NO,2020,63.9
YR,M,Y19,NO,2020,62.9
YR,M,Y2,NO,2020,79.8
YR,M,Y20,NO,2020,62.0
YR,M,Y21,NO,2020,61.0
YR,M,Y22,NO,2020,60.0
YR,M,Y23,NO,2020,59.0
YR,M,Y24,NO,2020,58.1
YR,M,Y25,NO,2020,57.1
YR,M,Y26,NO,2020,56.1
YR,M,Y27,NO,2020,55.2
YR,M,Y28,NO,2020,54.2
YR,M,Y29,NO,2020,53.2
YR,M,Y3,NO,2020,78.8
YR,M,Y30,NO,2020,52.3
YR,M,Y31,NO,2020,51.3
YR,M,Y32,NO,2020,50.3
YR,M,Y33,NO,2020,49.4
YR,M,Y34,NO,2020,48.4
YR,M,Y35,NO,2020,47.4
YR,M,Y36,NO,2020,46.5
YR,M,Y37,NO,2020,45.5
YR,M,Y38,NO,2020,44.5
YR,M,Y39,NO,2020,43.6
YR,M,Y4,NO,2020,77.8
YR,M,Y40,NO,2020,42.6
YR,M,Y41,NO,2020,41.6
YR,M,Y42,NO,2020,40.7
YR,M,Y43,NO,2020,39.7
YR,M,Y44,NO,2020,38.8
YR,M,Y45,NO,2020,37.8
YR,M,Y46,NO,2020,36.9
YR,M,Y47,NO,2020,35.9
YR,M,Y48,NO,2020,35.0
YR,M,Y49,NO,2020,34.1
YR,M,Y5,NO,2020,76.8
YR,M,Y50,NO,2020,33.1
YR,M,Y51,NO,2020,32.2
YR,M,Y52,NO,2020,31.3
YR,M,Y53,NO,2020,30.4
YR,M,Y54,NO,2020,29.4
YR,M,Y55,NO,2020,28.5
YR,M,Y56,NO,2020,27.6
YR,M,Y57,NO,2020,26.7
YR,M,Y58,NO,2020,25.8
YR,M,Y59,NO,2020,24.9
YR,M,Y6,NO,2020,75.8
YR,M,Y60,NO,2020,24.0
YR,M,Y61,NO,2020,23.2
YR,M,Y62,NO,2020,22.3
YR,M,Y63,NO,2020,21.5
YR,M,Y64,NO,2020,20.6
YR,M,Y65,NO,2020,19.8
YR,M,Y66,NO,2020,18.9
YR,M,Y67,NO,2020,18.1
YR,M,Y68,NO,2020,17.4
YR,M,Y69,NO,2020,16.6
YR,M,Y7,NO,2020,74.8
YR,M,Y70,NO,2020,15.8
YR,M,Y71,NO,2020,15.1
YR,M,Y72,NO,2020,14.3
YR,M,Y73,NO,2020,13.6
YR,M,Y74,NO,2020,12.8
YR,M,Y75,NO,2020,12.2
YR,M,Y76,NO,2020,11.5
YR,M,Y77,NO,2020,10.8
YR,M,Y78,NO,2020,10.1
YR,M,Y79,NO,2020,9.5
YR,M,Y8,NO,2020,73.8
YR,M,Y80,NO,2020,8.9
YR,M,Y81,NO,2020,8.3
YR,M,Y82,NO,2020,7.7
YR,M,Y83,NO,2020,7.2
YR,M,Y84,NO,2020,6.7
YR,M,Y9,NO,2020,72.8
YR,M,Y_GE85,NO,2020,6.2
YR,M,Y_LT1,NO,2020,81.6
YR,T,Y1,NO,2020,82.4
YR,T,Y10,NO,2020,73.4
YR,T,Y11,NO,2020,72.5
YR,T,Y12,NO,2020,71.5
YR,T,Y13,NO,2020,70.5
YR,T,Y14,NO,2020,69.5
YR,T,Y15,NO,2020,68.5
YR,T,Y16,NO,2020,67.5
YR,T,Y17,NO,2020,66.5
YR,T,Y18,NO,2020,65.5
YR,T,Y19,NO,2020,64.6
YR,T,Y2,NO,2020,81.4
YR,T,Y20,NO,2020,63.6
YR,T,Y21,NO,2020,62.6
YR,T,Y22,NO,2020,61.6
YR,T,Y23,NO,2020,60.6
YR,T,Y24,NO,2020,59.7
YR,T,Y25,NO,2020,58.7
YR,T,Y26,NO,2020,57.7
YR,T,Y27,NO,2020,56.7
YR,T,Y28,NO,2020,55.8
YR,T,Y29,NO,2020,54.8
YR,T,Y3,NO,2020,80.4
YR,T,Y30,NO,2020,53.8
YR,T,Y31,NO,2020,52.8
YR,T,Y32,NO,2020,51.9
YR,T,Y33,NO,2020,50.9
YR,T,Y34,NO,2020,49.9
YR,T,Y35,NO,2020,48.9
YR,T,Y36,NO,2020,48.0
YR,T,Y37,NO,2020,47.0
YR,T,Y38,NO,2020,46.0
YR,T,Y39,NO,2020,45.1
YR,T,Y4,NO,2020,79.4
YR,T,Y40,NO,2020,44.1
YR,T,Y41,NO,2020,43.1
YR,T,Y42,NO,2020,42.2
YR,T,Y43,NO,2020,41.2
YR,T,Y44,NO,2020,40.2
YR,T,Y45,NO,2020,39.3
YR,T,Y46,NO,2020,38.3
YR,T,Y47,NO,2020,37.4
YR,T,Y48,NO,2020,36.4
YR,T,Y49,NO,2020,35.5
YR,T,Y5,NO,2020,78.4
YR,T,Y50,NO,2020,34.5
YR,T,Y51,NO,2020,33.6
YR,T,Y52,NO,2020,32.6
YR,T,Y53,NO,2020,31.7
YR,T,Y54,NO,2020,30.8
YR,T,Y55,NO,2020,29.9
YR,T,Y56,NO,2020,28.9
YR,T,Y57,NO,2020,28.0
YR,T,Y58,NO,2020,27.1
YR,T,Y59,NO,2020,26.2
YR,T,Y6,NO,2020,77.4
YR,T,Y60,NO,2020,25.3
YR,T,Y61,NO,2020,24.4
YR,T,Y62,NO,2020,23.6
YR,T,Y63,NO,2020,22.7
YR,T,Y64,NO,2020,21.8
YR,T,Y65,NO,2020,21.0
YR,T,Y66,NO,2020,20.1
YR,T,Y67,NO,2020,19.3
YR,T,Y68,NO,2020,18.5
YR,T,Y69,NO,2020,17.7
YR,T,Y7,NO,2020,76.4
YR,T,Y70,NO,2020,16.9
YR,T,Y71,NO,2020,16.1
YR,T,Y72,NO,2020,15.3
YR,T,Y73,NO,2020,14.6
YR,T,Y74,NO,2020,13.8
YR,T,Y75,NO,2020,13.1
YR,T,Y76,NO,2020,12.4
YR,T,Y77,NO,2020,11.7
YR,T,Y78,NO,2020,11.0
YR,T,Y79,NO,2020,10.3
YR,T,Y8,NO,2020,75.4
YR,T,Y80,NO,2020,9.7
YR,T,Y81,NO,2020,9.1
YR,T,Y82,NO,2020,8.5
YR,T,Y83,NO,2020,7.9
YR,T,Y84,NO,2020,7.3
YR,T,Y9,NO,2020,74.4
YR,T,Y_GE85,NO,2020,6.8
YR,T,Y_LT1,NO,2020,83.3
YR,F,Y1,NO,2019,83.8
YR,F,Y10,NO,2019,74.9
YR,F,Y11,NO,2019,73.9
YR,F,Y12,NO,2019,72.9
YR,F,Y13,NO,2019,71.9
YR,F,Y14,NO,2019,70.9
YR,F,Y15,NO,2019,69.9
YR,F,Y16,NO,2019,68.9
YR,F,Y17,NO,2019,67.9
YR,F,Y18,NO,2019,66.9
YR,F,Y19,NO,2019,66.0
YR,F,Y2,NO,2019,82.9
YR,F,Y20,NO,2019,65.0
YR,F,Y21,NO,2019,64.0
YR,F,Y22,NO,2019,63.0
YR,F,Y23,NO,2019,62.0
YR,F,Y24,NO,2019,61.1
YR,F,Y25,NO,2019,60.1
YR,F,Y26,NO,2019,59.1
YR,F,Y27,NO,2019,58.1
YR,F,Y28,NO,2019,57.1
YR,F,Y29,NO,2019,56.1
YR,F,Y3,NO,2019,81.9
YR,F,Y30,NO,2019,55.1
YR,F,Y31,NO,2019,54.1
YR,F,Y32,NO,2019,53.2
YR,F,Y33,NO,2019,52.2
YR,F,Y34,NO,2019,51.2
YR,F,Y35,NO,2019,50.2
YR,F,Y36,NO,2019,49.2
YR,F,Y37,NO,2019,48.3
YR,F,Y38,NO,2019,47.3
YR,F,Y39,NO,2019,46.3
YR,F,Y4,NO,2019,80.9
YR,F,Y40,NO,2019,45.3
YR,F,Y41,NO,2019,44.3
YR,F,Y42,NO,2019,43.4
YR,F,Y43,NO,2019,42.4
YR,F,Y44,NO,2019,41.4
YR,F,Y45,NO,2019,40.4
YR,F,Y46,NO,2019,39.5
YR,F,Y47,NO,2019,38.5
YR,F,Y48,NO,2019,37.5
YR,F,Y49,NO,2019,36.6
YR,F,Y5,NO,2019,79.9
YR,F,Y50,NO,2019,35.6
YR,F,Y51,NO,2019,34.7
YR,F,Y52,NO,2019,33.7
YR,F,Y53,NO,2019,32.8
YR,F,Y54,NO,2019,31.9
YR,F,Y55,NO,2019,30.9
YR,F,Y56,NO,2019,30.0
YR,F,Y57,NO,2019,29.1
YR,F,Y58,NO,2019,28.2
YR,F,Y59,NO,2019,27.2
YR,F,Y6,NO,2019,78.9
YR,F,Y60,NO,2019,26.3
YR,F,Y61,NO,2019,25.4
YR,F,Y62,NO,2019,24.5
YR,F,Y63,NO,2019,23.6
YR,F,Y64,NO,2019,22.8
YR,F,Y65,NO,2019,21.9
YR,F,Y66,NO,2019,21.0
YR,F,Y67,NO,2019,20.2
YR,F,Y68,NO,2019,19.3
YR,F,Y69,NO,2019,18.5
YR,F,Y7,NO,2019,77.9
YR,F,Y70,NO,2019,17.7
YR,F,Y71,NO,2019,16.8
YR,F,Y72,NO,2019,16.0
YR,F,Y73,NO,2019,15.3
YR,F,Y74,NO,2019,14.5
YR,F,Y75,NO,2019,13.7
YR,F,Y76,NO,2019,13.0
YR,F,Y77,NO,2019,12.3
YR,F,Y78,NO,2019,11.6
YR,F,Y79,NO,2019,10.8
YR,F,Y8,NO,2019,76.9
YR,F,Y80,NO,2019,10.2
YR,F,Y81,NO,2019,9.5
YR,F,Y82,NO,2019,8.9
YR,F,Y83,NO,2019,8.3
YR,F,Y84,NO,2019,7.7
YR,F,Y9,NO,2019,75.9
YR,F,Y_GE85,NO,2019,7.2
YR,F,Y_LT1,NO,2019,84.7
YR,M,Y1,NO,2019,80.5
YR,M,Y10,NO,2019,71.6
YR,M,Y11,NO,2019,70.6
YR,M,Y12,NO,2019,69.6
YR,M,Y13,NO,2019,68.6
YR,M,Y14,NO,2019,67.6
YR,M,Y15,NO,2019,66.6
YR,M,Y16,NO,2019,65.6
YR,M,Y17,NO,2019,64.6
YR,M,Y18,NO,2019,63.6
YR,M,Y19,NO,2019,62.7
YR,M,Y2,NO,2019,79.5
YR,M,Y20,NO,2019,61.7
YR,M,Y21,NO,2019,60.7
YR,M,Y22,NO,2019,59.8
YR,M,Y23,NO,2019,58.8
YR,M,Y24,NO,2019,57.8
YR,M,Y25,NO,2019,56.9
YR,M,Y26,NO,2019,55.9
YR,M,Y27,NO,2019,54.9
YR,M,Y28,NO,2019,54.0
YR,M,Y29,NO,2019,53.0
YR,M,Y3,NO,2019,78.5
YR,M,Y30,NO,2019,52.0
YR,M,Y31,NO,2019,51.1
YR,M,Y32,NO,2019,50.1
YR,M,Y33,NO,2019,49.1
YR,M,Y34,NO,2019,48.2
YR,M,Y35,NO,2019,47.2
YR,M,Y36,NO,2019,46.2
YR,M,Y37,NO,2019,45.3
YR,M,Y38,NO,2019,44.3
YR,M,Y39,NO,2019,43.3
YR,M,Y4,NO,2019,77.5
YR,M,Y40,NO,2019,42.4
YR,M,Y41,NO,2019,41.4
YR,M,Y42,NO,2019,40.5
YR,M,Y43,NO,2019,39.5
YR,M,Y44,NO,2019,38.6
YR,M,Y45,NO,2019,37.6
YR,M,Y46,NO,2019,36.7
YR,M,Y47,NO,2019,35.7
YR,M,Y48,NO,2019,34.8
YR,M,Y49,NO,2019,33.8
YR,M,Y5,NO,2019,76.5
YR,M,Y50,NO,2019,32.9
YR,M,Y51,NO,2019,31.9
YR,M,Y52,NO,2019,31.0
YR,M,Y53,NO,2019,30.1
YR,M,Y54,NO,2019,29.2
YR,M,Y55,NO,2019,28.3
YR,M,Y56,NO,2019,27.4
YR,M,Y57,NO,2019,26.5
YR,M,Y58,NO,2019,25.6
YR,M,Y59,NO,2019,24.7
YR,M,Y6,NO,2019,75.5
YR,M,Y60,NO,2019,23.8
YR,M,Y61,NO,2019,23.0
YR,M,Y62,NO,2019,22.1
YR,M,Y63,NO,2019,21.3
YR,M,Y64,NO,2019,20.5
YR,M,Y65,NO,2019,19.6
YR,M,Y66,NO,2019,18.8
YR,M,Y67,NO,2019,18.0
YR,M,Y68,NO,2019,17.2
YR,M,Y69,NO,2019,16.4
YR,M,Y7,NO,2019,74.5
YR,M,Y70,NO,2019,15.6
YR,M,Y71,NO,2019,14.9
YR,M,Y72,NO,2019,14.2
YR,M,Y73,NO,2019,13.4
YR,M,Y74,NO,2019,12.7
YR,M,Y75,NO,2019,12.0
YR,M,Y76,NO,2019,11.4
YR,M,Y77,NO,2019,10.7
YR,M,Y78,NO,2019,10.0
YR,M,Y79,NO,2019,9.4
YR,M,Y8,NO,2019,73.5
YR,M,Y80,NO,2019,8.8
YR,M,Y81,NO,2019,8.2
YR,M,Y82,NO,2019,7.6
YR,M,Y83,NO,2019,7.1
YR,M,Y84,NO,2019,6.6
YR,M,Y9,NO,2019,72.5
YR,M,Y_GE85,NO,2019,6.1
YR,M,Y_LT1,NO,2019,81.3
YR,T,Y1,NO,2019,82.2
YR,T,Y10,NO,2019,73.2
YR,T,Y11,NO,2019,72.2
YR,T,Y12,NO,2019,71.2
YR,T,Y13,NO,2019,70.3
YR,T,Y14,NO,2019,69.3
YR,T,Y15,NO,2019,68.3
YR,T,Y16,NO,2019,67.3
YR,T,Y17,NO,2019,66.3
YR,T,Y18,NO,2019,65.3
YR,T,Y19,NO,2019,64.3
YR,T,Y2,NO,2019,81.2
YR,T,Y20,NO,2019,63.4
YR,T,Y21,NO,2019,62.4
YR,T,Y22,NO,2019,61.4
YR,T,Y23,NO,2019,60.4
YR,T,Y24,NO,2019,59.5
YR,T,Y25,NO,2019,58.5
YR,T,Y26,NO,2019,57.5
YR,T,Y27,NO,2019,56.5
YR,T,Y28,NO,2019,55.6
YR,T,Y29,NO,2019,54.6
YR,T,Y3,NO,2019,80.2
YR,T,Y30,NO,2019,53.6
YR,T,Y31,NO,2019,52.6
YR,T,Y32,NO,2019,51.7
YR,T,Y33,NO,2019,50.7
YR,T,Y34,NO,2019,49.7
YR,T,Y35,NO,2019,48.7
YR,T,Y36,NO,2019,47.8
YR,T,Y37,NO,2019,46.8
YR,T,Y38,NO,2019,45.8
YR,T,Y39,NO,2019,44.9
YR,T,Y4,NO,2019,79.2
YR,T,Y40,NO,2019,43.9
YR,T,Y41,NO,2019,42.9
YR,T,Y42,NO,2019,41.9
YR,T,Y43,NO,2019,41.0
YR,T,Y44,NO,2019,40.0
YR,T,Y45,NO,2019,39.1
YR,T,Y46,NO,2019,38.1
YR,T,Y47,NO,2019,37.1
YR,T,Y48,NO,2019,36.2
YR,T,Y49,NO,2019,35.2
YR,T,Y5,NO,2019,78.2
YR,T,Y50,NO,2019,34.3
YR,T,Y51,NO,2019,33.3
YR,T,Y52,NO,2019,32.4
YR,T,Y53,NO,2019,31.5
YR,T,Y54,NO,2019,30.6
YR,T,Y55,NO,2019,29.6
YR,T,Y56,NO,2019,28.7
YR,T,Y57,NO,2019,27.8
YR,T,Y58,NO,2019,26.9
YR,T,Y59,NO,2019,26.0
YR,T,Y6,NO,2019,77.2
YR,T,Y60,NO,2019,25.1
YR,T,Y61,NO,2019,24.2
YR,T,Y62,NO,2019,23.4
YR,T,Y63,NO,2019,22.5
YR,T,Y64,NO,2019,21.7
YR,T,Y65,NO,2019,20.8
YR,T,Y66,NO,2019,20.0
YR,T,Y67,NO,2019,19.2
YR,T,Y68,NO,2019,18.3
YR,T,Y69,NO,2019,17.5
YR,T,Y7,NO,2019,76.2
YR,T,Y70,NO,2019,16.7
YR,T,Y71,NO,2019,15.9
YR,T,Y72,NO,2019,15.2
YR,T,Y73,NO,2019,14.4
YR,T,Y74,NO,2019,13.7
YR,T,Y75,NO,2019,13.0
YR,T,Y76,NO,2019,12.3
YR,T,Y77,NO,2019,11.6
YR,T,Y78,NO,2019,10.9
YR,T,Y79,NO,2019,10.2
YR,T,Y8,NO,2019,75.2
YR,T,Y80,NO,2019,9.6
YR,T,Y81,NO,2019,9.0
YR,T,Y82,NO,2019,8.4
YR,T,Y83,NO,2019,7.8
YR,T,Y84,NO,2019,7.3
YR,T,Y9,NO,2019,74.2
YR,T,Y_GE85,NO,2019,6.8
YR,T,Y_LT1,NO,2019,83.0
YR,F,Y1,NO,2018,83.7
YR,F,Y10,NO,2018,74.7
YR,F,Y11,NO,2018,73.7
YR,F,Y12,NO,2018,72.7
YR,F,Y13,NO,2018,71.7
YR,F,Y14,NO,2018,70.7
YR,F,Y15,NO,2018,69.7
YR,F,Y16,NO,2018,68.7
YR,F,Y17,NO,2018,67.7
YR,F,Y18,NO,2018,66.7
YR,F,Y19,NO,2018,65.8
YR,F,Y2,NO,2018,82.7
YR,F,Y20,NO,2018,64.8
YR,F,Y21,NO,2018,63.8
YR,F,Y22,NO,2018,62.8
YR,F,Y23,NO,2018,61.8
YR,F,Y24,NO,2018,60.8
YR,F,Y25,NO,2018,59.8
YR,F,Y26,NO,2018,58.8
YR,F,Y27,NO,2018,57.8
YR,F,Y28,NO,2018,56.9
YR,F,Y29,NO,2018,55.9
YR,F,Y3,NO,2018,81.7
YR,F,Y30,NO,2018,54.9
YR,F,Y31,NO,2018,53.9
YR,F,Y32,NO,2018,52.9
YR,F,Y33,NO,2018,51.9
YR,F,Y34,NO,2018,50.9
YR,F,Y35,NO,2018,50.0
YR,F,Y36,NO,2018,49.0
YR,F,Y37,NO,2018,48.0
YR,F,Y38,NO,2018,47.0
YR,F,Y39,NO,2018,46.0
YR,F,Y4,NO,2018,80.7
YR,F,Y40,NO,2018,45.1
YR,F,Y41,NO,2018,44.1
YR,F,Y42,NO,2018,43.1
YR,F,Y43,NO,2018,42.1
YR,F,Y44,NO,2018,41.2
YR,F,Y45,NO,2018,40.2
YR,F,Y46,NO,2018,39.2
YR,F,Y47,NO,2018,38.3
YR,F,Y48,NO,2018,37.3
YR,F,Y49,NO,2018,36.4
YR,F,Y5,NO,2018,79.7
YR,F,Y50,NO,2018,35.4
YR,F,Y51,NO,2018,34.5
YR,F,Y52,NO,2018,33.5
YR,F,Y53,NO,2018,32.6
YR,F,Y54,NO,2018,31.6
YR,F,Y55,NO,2018,30.7
YR,F,Y56,NO,2018,29.8
YR,F,Y57,NO,2018,28.9
YR,F,Y58,NO,2018,28.0
YR,F,Y59,NO,2018,27.0
YR,F,Y6,NO,2018,78.7
YR,F,Y60,NO,2018,26.1
YR,F,Y61,NO,2018,25.2
YR,F,Y62,NO,2018,24.4
YR,F,Y63,NO,2018,23.5
YR,F,Y64,NO,2018,22.6
YR,F,Y65,NO,2018,21.7
YR,F,Y66,NO,2018,20.9
YR,F,Y67,NO,2018,20.0
YR,F,Y68,NO,2018,19.2
YR,F,Y69,NO,2018,18.3
YR,F,Y7,NO,2018,77.7
YR,F,Y70,NO,2018,17.5
YR,F,Y71,NO,2018,16.7
YR,F,Y72,NO,2018,15.9
YR,F,Y73,NO,2018,15.1
YR,F,Y74,NO,2018,14.3
YR,F,Y75,NO,2018,13.6
YR,F,Y76,NO,2018,12.8
YR,F,Y77,NO,2018,12.1
YR,F,Y78,NO,2018,11.3
YR,F,Y79,NO,2018,10.7
YR,F,Y8,NO,2018,76.7
YR,F,Y80,NO,2018,10.0
YR,F,Y81,NO,2018,9.3
YR,F,Y82,NO,2018,8.7
YR,F,Y83,NO,2018,8.1
YR,F,Y84,NO,2018,7.5
YR,F,Y9,NO,2018,75.7
YR,F,Y_GE85,NO,2018,7.0
YR,F,Y_LT1,NO,2018,84.5
YR,M,Y1,NO,2018,80.3
YR,M,Y10,NO,2018,71.3
YR,M,Y11,NO,2018,70.3
YR,M,Y12,NO,2018,69.3
YR,M,Y13,NO,2018,68.4
YR,M,Y14,NO,2018,67.4
YR,M,Y15,NO,2018,66.4
YR,M,Y16,NO,2018,65.4
YR,M,Y17,NO,2018,64.4
YR,M,Y18,NO,2018,63.4
YR,M,Y19,NO,2018,62.4
YR,M,Y2,NO,2018,79.3
YR,M,Y20,NO,2018,61.5
YR,M,Y21,NO,2018,60.5
YR,M,Y22,NO,2018,59.5
YR,M,Y23,NO,2018,58.6
YR,M,Y24,NO,2018,57.6
YR,M,Y25,NO,2018,56.6
YR,M,Y26,NO,2018,55.7
YR,M,Y27,NO,2018,54.7
YR,M,Y28,NO,2018,53.7
YR,M,Y29,NO,2018,52.8
YR,M,Y3,NO,2018,78.3
YR,M,Y30,NO,2018,51.8
YR,M,Y31,NO,2018,50.8
YR,M,Y32,NO,2018,49.9
YR,M,Y33,NO,2018,48.9
YR,M,Y34,NO,2018,47.9
YR,M,Y35,NO,2018,47.0
YR,M,Y36,NO,2018,46.0
YR,M,Y37,NO,2018,45.0
YR,M,Y38,NO,2018,44.1
YR,M,Y39,NO,2018,43.1
YR,M,Y4,NO,2018,77.3
YR,M,Y40,NO,2018,42.2
YR,M,Y41,NO,2018,41.2
YR,M,Y42,NO,2018,40.3
YR,M,Y43,NO,2018,39.3
YR,M,Y44,NO,2018,38.3
YR,M,Y45,NO,2018,37.4
YR,M,Y46,NO,2018,36.4
YR,M,Y47,NO,2018,35.5
YR,M,Y48,NO,2018,34.5
YR,M,Y49,NO,2018,33.6
YR,M,Y5,NO,2018,76.3
YR,M,Y50,NO,2018,32.7
YR,M,Y51,NO,2018,31.7
YR,M,Y52,NO,2018,30.8
YR,M,Y53,NO,2018,29.9
YR,M,Y54,NO,2018,29.0
YR,M,Y55,NO,2018,28.1
YR,M,Y56,NO,2018,27.2
YR,M,Y57,NO,2018,26.3
YR,M,Y58,NO,2018,25.4
YR,M,Y59,NO,2018,24.5
YR,M,Y6,NO,2018,75.3
YR,M,Y60,NO,2018,23.6
YR,M,Y61,NO,2018,22.8
YR,M,Y62,NO,2018,21.9
YR,M,Y63,NO,2018,21.1
YR,M,Y64,NO,2018,20.2
YR,M,Y65,NO,2018,19.4
YR,M,Y66,NO,2018,18.6
YR,M,Y67,NO,2018,17.8
YR,M,Y68,NO,2018,17.0
YR,M,Y69,NO,2018,16.2
YR,M,Y7,NO,2018,74.3
YR,M,Y70,NO,2018,15.5
YR,M,Y71,NO,2018,14.7
YR,M,Y72,NO,2018,14.0
YR,M,Y73,NO,2018,13.3
YR,M,Y74,NO,2018,12.5
YR,M,Y75,NO,2018,11.8
YR,M,Y76,NO,2018,11.2
YR,M,Y77,NO,2018,10.5
YR,M,Y78,NO,2018,9.9
YR,M,Y79,NO,2018,9.3
YR,M,Y8,NO,2018,73.3
YR,M,Y80,NO,2018,8.7
YR,M,Y81,NO,2018,8.1
YR,M,Y82,NO,2018,7.6
YR,M,Y83,NO,2018,7.1
YR,M,Y84,NO,2018,6.6
YR,M,Y9,NO,2018,72.3
YR,M,Y_GE85,NO,2018,6.1
YR,M,Y_LT1,NO,2018,81.1
YR,T,Y1,NO,2018,82.0
YR,T,Y10,NO,2018,73.0
YR,T,Y11,NO,2018,72.0
YR,T,Y12,NO,2018,71.0
YR,T,Y13,NO,2018,70.0
YR,T,Y14,NO,2018,69.1
YR,T,Y15,NO,2018,68.1
YR,T,Y16,NO,2018,67.1
YR,T,Y17,NO,2018,66.1
YR,T,Y18,NO,2018,65.1
YR,T,Y19,NO,2018,64.1
YR,T,Y2,NO,2018,81.0
YR,T,Y20,NO,2018,63.1
YR,T,Y21,NO,2018,62.2
YR,T,Y22,NO,2018,61.2
YR,T,Y23,NO,2018,60.2
YR,T,Y24,NO,2018,59.2
YR,T,Y25,NO,2018,58.2
YR,T,Y26,NO,2018,57.3
YR,T,Y27,NO,2018,56.3
YR,T,Y28,NO,2018,55.3
YR,T,Y29,NO,2018,54.3
YR,T,Y3,NO,2018,80.0
YR,T,Y30,NO,2018,53.4
YR,T,Y31,NO,2018,52.4
YR,T,Y32,NO,2018,51.4
YR,T,Y33,NO,2018,50.4
YR,T,Y34,NO,2018,49.5
YR,T,Y35,NO,2018,48.5
YR,T,Y36,NO,2018,47.5
YR,T,Y37,NO,2018,46.5
YR,T,Y38,NO,2018,45.6
YR,T,Y39,NO,2018,44.6
YR,T,Y4,NO,2018,79.0
YR,T,Y40,NO,2018,43.7
YR,T,Y41,NO,2018,42.7
YR,T,Y42,NO,2018,41.7
YR,T,Y43,NO,2018,40.8
YR,T,Y44,NO,2018,39.8
